0,161271,161309,20,1.9,20,78,5,50,15,25,5,53,1.62
1,166097,166131,15,2.1,18,85,15,55,42,5,14,37,1.69
2,172009,172032,13,1.9,12,91,8,41,87,0,12,0,0.54
3,176552,176578,14,1.9,14,92,0,47,37,11,0,51,1.37
4,181912,181943,15,2.1,16,82,5,45,43,18,6,31,1.75
5,183182,183206,11,2.4,10,93,6,43,44,8,0,48,1.32
6,189216,189246,4,8.5,4,82,13,40,70,0,0,29,0.87
7,189216,189248,15,2.5,13,85,14,47,72,0,0,27,0.85
8,189985,190011,6,4.7,6,86,4,42,40,33,14,11,1.82
9,190133,190166,14,2.5,14,95,4,63,47,41,5,5,1.52
10,190870,190899,16,1.9,16,86,6,48,20,33,40,6,1.78
11,192292,192327,3,11.7,3,94,5,65,36,30,0,33,1.58
12,192295,192343,9,5.2,10,82,4,55,42,22,0,34,1.54
13,192472,192500,9,3.1,9,80,9,44,82,0,17,0,0.66
14,192464,192500,11,3.2,11,80,7,46,78,0,21,0,0.75
15,192855,192891,18,2.3,15,81,13,46,37,29,2,29,1.71
16,193973,194036,3,21.3,3,83,0,51,45,3,18,32,1.65
17,194578,194606,13,2.4,13,83,11,41,65,10,6,17,1.44
18,196014,196050,18,2.1,18,85,5,55,67,10,21,0,1.21
19,198841,198870,11,2.7,11,94,0,53,0,16,23,60,1.36
20,199909,199929,1,21.0,1,100,0,42,0,0,0,100,0.00
21,204233,206652,135,17.9,135,88,3,2690,31,31,15,21,1.95
22,206757,206839,15,5.5,15,84,8,114,14,32,4,48,1.65
23,207234,207298,21,3.1,21,81,0,95,58,27,13,0,1.36
24,207623,207711,27,3.3,27,88,0,136,33,23,21,21,1.97
25,208251,208289,9,4.6,9,73,17,42,20,2,2,74,1.06
26,212027,212064,11,3.5,11,75,10,43,55,10,21,13,1.67
27,212396,212424,14,2.0,15,86,6,46,10,13,17,58,1.62
28,217470,217500,13,2.4,13,88,0,48,12,16,12,58,1.64
29,217494,217523,10,2.9,11,76,14,43,0,30,0,70,0.88
30,219194,219228,15,2.3,15,90,0,56,8,34,11,45,1.71
31,220004,220045,21,2.0,20,78,13,51,2,14,9,73,1.18
32,220662,220687,3,9.0,3,83,8,40,3,0,26,69,1.06
33,220821,220850,15,2.0,15,86,0,46,10,26,26,36,1.88
34,222297,222347,9,5.7,9,78,0,53,13,43,11,31,1.80
35,223128,223163,1,36.0,1,100,0,72,0,0,0,100,0.00
36,223128,223178,4,11.6,5,86,14,43,5,3,0,90,0.56
37,225395,225418,3,8.0,3,90,0,41,62,0,37,0,0.95
38,229761,229816,15,3.7,15,85,0,84,23,5,14,57,1.58
39,229862,229903,11,3.5,12,72,21,41,21,0,50,28,1.49
40,229956,229996,11,3.8,11,87,9,58,24,0,48,26,1.51
41,230093,230118,6,4.3,6,95,0,45,23,0,30,46,1.53
42,230118,230214,6,16.2,6,88,11,158,0,0,63,36,0.94
